SpireID, Dept, Number, Days, StartTime, EndTime, Associated, SectionNum, PrimaryClass, Instructor, CourseName, GenEd
"39737","Accounting","ACCOUNTG  322","","2:30:00PM","3:45:00PM","","","true","","",""
"36167","Accounting","ACCOUNTG  322","","1:25:00PM","2:40:00PM","","","true","","",""
"36131","Accounting","ACCOUNTG  322","","2:55:00PM","4:10:00PM","","","true","","",""
"37886","Accounting","ACCOUNTG  331","","9:30:00AM","0:45:00AM","","","true","","",""
"36158","Accounting","ACCOUNTG  331","","9:30:00AM","0:45:00AM","","","true","","",""
"36177","Accounting","ACCOUNTG  331","","","","","","true","","",""
"36183","Accounting","ACCOUNTG  371","","1:00:00PM","2:15:00PM","","","true","","",""
"36159","Accounting","ACCOUNTG  371","","8:00:00AM","8:50:00AM","","","true","","",""
"36130","Accounting","ACCOUNTG  396","","1:25:00PM","2:15:00PM","","","true","","",""
"36168","Accounting","ACCOUNTG  396H","","1:00:00AM","1:00:00AM","","","true","","",""
"36173","Accounting","ACCOUNTG  398","","1:00:00AM","1:00:00AM","","","true","","",""
"36169","Accounting","ACCOUNTG  496","","1:00:00AM","1:00:00AM","","","true","","",""
"36170","Accounting","ACCOUNTG  496H","","1:00:00AM","1:00:00AM","","","true","","",""
"36174","Accounting","ACCOUNTG  498","","1:00:00AM","1:00:00AM","","","true","","",""
"36178","Accounting","ACCOUNTG  498Y","","1:00:00AM","1:00:00AM","","","true","","",""
"36160","Accounting","ACCOUNTG  499P","","1:00:00AM","1:00:00AM","","","true","","",""
"36161","Accounting","ACCOUNTG  499T","","1:00:00AM","1:00:00AM","","","true","","",""
"36162","Accounting","ACCOUNTG  499Y","","1:00:00AM","1:00:00AM","","","true","","",""
"36163","Accounting","ACCOUNTG  499Y","","1:00:00AM","1:00:00AM","","","true","","",""
"30576","Aerospace Studies","AEROSPAC  111","","8:00:00AM","8:50:00AM","","","true","","",""
"30577","Aerospace Studies","AEROSPAC  191A","","4:00:00PM","6:00:00PM","","","false","","",""
"30582","Aerospace Studies","AEROSPAC  223","","6:30:00AM","7:30:00AM","","","true","","",""
"30578","Aerospace Studies","AEROSPAC  223","","8:00:00AM","8:50:00AM","","","true","","",""
"30579","Aerospace Studies","AEROSPAC  335","","3:00:00PM","6:00:00PM","","","false","","",""
"30587","Aerospace Studies","AEROSPAC  335","","1:00:00AM","1:00:00AM","","","true","","",""
"30588","Aerospace Studies","AEROSPAC  398","","3:00:00PM","6:00:00PM","","","false","","",""
"30585","Aerospace Studies","AEROSPAC  441","","1:00:00AM","1:00:00AM","","","true","","",""
"30586","Aerospace Studies","AEROSPAC  441","","1:00:00AM","1:00:00AM","","","false","","",""
"30584","Aerospace Studies","AEROSPAC  496","","3:00:00PM","6:00:00PM","","","false","","",""
"30581","Aerospace Studies","AEROSPAC  496","","1:00:00AM","1:00:00AM","","","true","","",""
"30627","Afro-American Studies","AFROAM  117","","5:30:00PM","6:45:00PM","","","true","","",""
"30624","Afro-American Studies","AFROAM  117","","9:05:00AM","9:55:00AM","","","true","","",""
"38122","Afro-American Studies","AFROAM  117","","","","","","false","","",""
"38123","Afro-American Studies","AFROAM  117","","1:25:00PM","2:15:00PM","","","false","","",""
"38124","Afro-American Studies","AFROAM  117","","","","","","false","","",""
"38125","Afro-American Studies","AFROAM  132","","1:25:00PM","2:15:00PM","","","false","","",""
"30607","Afro-American Studies","AFROAM  132","","3:35:00PM","4:25:00PM","","","true","","",""
"30628","Afro-American Studies","AFROAM  132","","","","","","false","","",""
"30629","Afro-American Studies","AFROAM  132","","","","","","false","","",""
"30630","Afro-American Studies","AFROAM  132","","","","","","false","","",""
"30631","Afro-American Studies","AFROAM  132","","","","","","false","","",""
"30632","Afro-American Studies","AFROAM  132","","","","","","false","","",""
"30633","Afro-American Studies","AFROAM  151","","","","","","false","","",""
"30634","Afro-American Studies","AFROAM  151","","","","","","true","","",""
"38126","Afro-American Studies","AFROAM  151","","","","","","false","","",""
"38127","Afro-American Studies","AFROAM  151","","","","","","false","","",""
"38128","Afro-American Studies","AFROAM  151","","","","","","false","","",""
"38129","Afro-American Studies","AFROAM  191A","","","","","","false","","",""
"38131","Afro-American Studies","AFROAM  192F","","9:30:00AM","0:45:00AM","","","true","","",""
"30604","Afro-American Studies","AFROAM  196","","5:30:00PM","6:45:00PM","","","true","","",""
"30608","Afro-American Studies","AFROAM  196H","","1:00:00AM","1:00:00AM","","","true","","",""
"30639","Afro-American Studies","AFROAM  197A","","1:00:00AM","1:00:00AM","","","true","","",""
"30636","Afro-American Studies","AFROAM  236","","6:00:00PM","8:30:00PM","","","true","","",""
"30623","Afro-American Studies","AFROAM  236","","","","","","true","","",""
"39484","Afro-American Studies","AFROAM  236","","","","","","false","","",""
"39485","Afro-American Studies","AFROAM  236","","","","","","false","","",""
"39486","Afro-American Studies","AFROAM  236","","","","","","false","","",""
"39487","Afro-American Studies","AFROAM  236","","","","","","false","","",""
"39488","Afro-American Studies","AFROAM  236","","","","","","false","","",""
"39489","Afro-American Studies","AFROAM  254","","","","","","false","","",""
"30635","Afro-American Studies","AFROAM  254","","4:00:00PM","5:15:00PM","","","true","","",""
"38151","Afro-American Studies","AFROAM  254","","","","","","false","","",""
"38152","Afro-American Studies","AFROAM  296","","","","","","false","","",""
"30609","Afro-American Studies","AFROAM  296H","","1:00:00AM","1:00:00AM","","","true","","",""
"30620","Afro-American Studies","AFROAM  297A","","1:00:00AM","1:00:00AM","","","true","","",""
"38063","Afro-American Studies","AFROAM  297S","","7:00:00PM","9:30:00PM","","","true","","",""
"38197","Afro-American Studies","AFROAM  331","","","","","","true","","",""
"38153","Afro-American Studies","AFROAM  365","","7:00:00PM","9:30:00PM","","","true","","",""
"30626","Afro-American Studies","AFROAM  392C","","1:00:00PM","2:15:00PM","","","true","","",""
"38154","Afro-American Studies","AFROAM  395G","","","","","","true","","",""
"30605","Afro-American Studies","AFROAM  395G","","5:30:00PM","6:45:00PM","","","true","","",""
"39495","Afro-American Studies","AFROAM  396","","5:30:00PM","6:45:00PM","","","false","","",""
"30610","Afro-American Studies","AFROAM  396H","","1:00:00AM","1:00:00AM","","","true","","",""
"30621","Afro-American Studies","AFROAM  397B","","1:00:00AM","1:00:00AM","","","true","","",""
"30625","Afro-American Studies","AFROAM  494DI","","7:00:00PM","9:30:00PM","","","true","","",""
"30602","Afro-American Studies","AFROAM  496","","","","","","true","","",""
"30611","Afro-American Studies","AFROAM  496Y","","1:00:00AM","1:00:00AM","","","true","","",""
"30612","Afro-American Studies","AFROAM  498Y","","1:00:00AM","1:00:00AM","","","true","","",""
"30613","Afro-American Studies","AFROAM  499P","","1:00:00AM","1:00:00AM","","","true","","",""
"30614","Afro-American Studies","AFROAM  499T","","1:00:00AM","1:00:00AM","","","true","","",""
"30615","Afro-American Studies","AFROAM  499Y","","1:00:00AM","1:00:00AM","","","true","","",""
"30616","Afro-American Studies","AFROAM  691F","","1:00:00AM","1:00:00AM","","","true","","",""
"30601","Afro-American Studies","AFROAM  692F","","2:30:00PM","5:00:00PM","","","true","","",""
"38158","Afro-American Studies","AFROAM  692Q","","","","","","true","","",""
"30600","Afro-American Studies","AFROAM  696","","","","","","true","","",""
"30617","Afro-American Studies","AFROAM  696A","","1:00:00AM","1:00:00AM","","","true","","",""
"30622","Afro-American Studies","AFROAM  699","","1:00:00AM","1:00:00AM","","","true","","",""
"30618","Afro-American Studies","AFROAM  701","","1:00:00AM","1:00:00AM","","","true","","",""
"30637","Afro-American Studies","AFROAM  899","","2:30:00PM","5:00:00PM","","","true","","",""
"30619","Afro-American Studies","AFROAM  899","","1:00:00AM","1:00:00AM","","","true","","",""
"37915","Animal Science","ANIMLSCI  101","","1:00:00AM","1:00:00AM","","","true","","",""
"30648","Animal Science","ANIMLSCI  101","","9:30:00AM","0:45:00AM","","","true","","",""
"30649","Animal Science","ANIMLSCI  101","","1:25:00PM","4:25:00PM","","","false","","",""
"30650","Animal Science","ANIMLSCI  101","","1:25:00PM","4:25:00PM","","","false","","",""
"30651","Animal Science","ANIMLSCI  101","","1:25:00PM","4:25:00PM","","","false","","",""
"30652","Animal Science","ANIMLSCI  196","","1:25:00PM","4:25:00PM","","","false","","",""
"30653","Animal Science","ANIMLSCI  196H","","1:00:00AM","1:00:00AM","","","true","","",""
"30681","Animal Science","ANIMLSCI  220","","1:00:00AM","1:00:00AM","","","true","","",""
"30654","Animal Science","ANIMLSCI  220","","","","","","true","","",""
"30655","Animal Science","ANIMLSCI  220","","9:00:00AM","1:00:00AM","","","false","","",""
"30656","Animal Science","ANIMLSCI  220","","1:00:00PM","3:00:00PM","","","false","","",""
"30657","Animal Science","ANIMLSCI  220","","3:15:00PM","5:15:00PM","","","false","","",""
"30658","Animal Science","ANIMLSCI  260","","9:00:00AM","1:00:00AM","","","false","","",""
"30661","Animal Science","ANIMLSCI  260","","","","","","true","","",""
"37916","Animal Science","ANIMLSCI  260","","","","","","false","","",""
"37917","Animal Science","ANIMLSCI  260","","","","","","false","","",""
"37919","Animal Science","ANIMLSCI  290F","","","","","","false","","",""
"30690","Animal Science","ANIMLSCI  290F","","9:05:00AM","9:55:00AM","","","true","","",""
"30691","Animal Science","ANIMLSCI  296","","1:00:00PM","3:45:00PM","","","false","","",""
"30659","Animal Science","ANIMLSCI  296H","","1:00:00AM","1:00:00AM","","","true","","",""
"30682","Animal Science","ANIMLSCI  296T","","1:00:00AM","1:00:00AM","","","true","","",""
"30692","Animal Science","ANIMLSCI  297D","","1:00:00AM","1:00:00AM","","","true","","",""
"39832","Animal Science","ANIMLSCI  298","","1:00:00AM","1:00:00AM","","","true","","",""
"30679","Animal Science","ANIMLSCI  298E","","1:00:00AM","1:00:00AM","","","true","","",""
"30646","Animal Science","ANIMLSCI  298M","","6:30:00PM","8:00:00PM","","","true","","",""
"30645","Animal Science","ANIMLSCI  298S","","6:00:00PM","8:00:00PM","","","true","","",""
"30644","Animal Science","ANIMLSCI  298W","","6:00:00PM","9:00:00PM","","","true","","",""
"30647","Animal Science","ANIMLSCI  311","","5:30:00PM","6:30:00PM","","","true","","",""
"30660","Animal Science","ANIMLSCI  396","","8:00:00AM","8:50:00AM","","","true","","",""
"30662","Animal Science","ANIMLSCI  396H","","1:00:00AM","1:00:00AM","","","true","","",""
"30683","Animal Science","ANIMLSCI  396T","","1:00:00AM","1:00:00AM","","","true","","",""
"30693","Animal Science","ANIMLSCI  398","","1:00:00AM","1:00:00AM","","","true","","",""
"30680","Animal Science","ANIMLSCI  421","","1:00:00AM","1:00:00AM","","","true","","",""
"30686","Animal Science","ANIMLSCI  432","","8:00:00AM","9:15:00AM","","","true","","",""
"37920","Animal Science","ANIMLSCI  496","","","","","","true","","",""
"30663","Animal Science","ANIMLSCI  496H","","1:00:00AM","1:00:00AM","","","true","","",""
"30684","Animal Science","ANIMLSCI  497S","","1:00:00AM","1:00:00AM","","","true","","",""
"37921","Animal Science","ANIMLSCI  498Y","","1:00:00AM","1:00:00AM","","","true","","",""
"30664","Animal Science","ANIMLSCI  499P","","1:00:00AM","1:00:00AM","","","true","","",""
"30685","Animal Science","ANIMLSCI  499T","","1:00:00AM","1:00:00AM","","","true","","",""
"30665","Animal Science","ANIMLSCI  499Y","","1:00:00AM","1:00:00AM","","","true","","",""
"30666","Animal Science","ANIMLSCI  521","","1:00:00AM","1:00:00AM","","","true","","",""
"30673","Animal Science","ANIMLSCI  521","","9:05:00AM","9:55:00AM","","","true","","",""
"30674","Animal Science","ANIMLSCI  521","","","","","","false","","",""
"30675","Animal Science","ANIMLSCI  521","","1:25:00PM","3:20:00PM","","","false","","",""
"30676","Animal Science","ANIMLSCI  585","","3:35:00PM","5:30:00PM","","","false","","",""
"30687","Animal Science","ANIMLSCI  596","","2:30:00PM","3:20:00PM","","","true","","",""
"30667","Animal Science","ANIMLSCI  696","","1:00:00AM","1:00:00AM","","","true","","",""
"30668","Animal Science","ANIMLSCI  697G","","1:00:00AM","1:00:00AM","","","true","","",""
"30694","Animal Science","ANIMLSCI  699","","4:00:00PM","5:00:00PM","","","true","","",""
"30669","Animal Science","ANIMLSCI  792","","1:00:00AM","1:00:00AM","","","true","","",""
"30670","Animal Science","ANIMLSCI  794A","","3:35:00PM","5:05:00PM","","","true","","",""
"30677","Animal Science","ANIMLSCI  795A","","","","","","true","","",""
"30678","Animal Science","ANIMLSCI  796","","","","","","true","","",""
"30671","Animal Science","ANIMLSCI  899","","1:00:00AM","1:00:00AM","","","true","","",""
"30672","Animal Science","ANIMLSCI  899","","1:00:00AM","1:00:00AM","","","true","","",""
"30784","Anthropology","ANTHRO  100","","","","","","true","","",""
"30785","Anthropology","ANTHRO  100","","8:00:00AM","8:50:00AM","","","false","","",""
"30786","Anthropology","ANTHRO  100","","","","","","false","","",""
"30787","Anthropology","ANTHRO  100","","1:25:00PM","2:15:00PM","","","false","","",""
"30788","Anthropology","ANTHRO  100","","2:30:00PM","3:20:00PM","","","false","","",""
"30789","Anthropology","ANTHRO  100","","9:05:00AM","9:55:00AM","","","false","","",""
"30790","Anthropology","ANTHRO  100","","","","","","false","","",""
"30791","Anthropology","ANTHRO  100","","","","","","false","","",""
"30792","Anthropology","ANTHRO  100","","","","","","false","","",""
"30793","Anthropology","ANTHRO  100","","1:25:00PM","2:15:00PM","","","false","","",""
"39673","Anthropology","ANTHRO  102","","","","","","true","","",""
"30845","Anthropology","ANTHRO  102","","8:00:00AM","8:50:00AM","","","true","","",""
"30846","Anthropology","ANTHRO  102","","","","","","false","","",""
"30847","Anthropology","ANTHRO  102","","1:25:00PM","2:15:00PM","","","false","","",""
"30848","Anthropology","ANTHRO  102","","9:05:00AM","9:55:00AM","","","false","","",""
"30849","Anthropology","ANTHRO  102","","2:30:00PM","3:20:00PM","","","false","","",""
"30850","Anthropology","ANTHRO  102","","","","","","false","","",""
"30851","Anthropology","ANTHRO  102","","","","","","false","","",""
"30718","Anthropology","ANTHRO  102","","8:00:00AM","8:50:00AM","","","false","","",""
"30719","Anthropology","ANTHRO  102","","3:35:00PM","4:25:00PM","","","false","","",""
"30720","Anthropology","ANTHRO  103","","4:40:00PM","5:30:00PM","","","false","","",""
"30750","Anthropology","ANTHRO  103","","9:05:00AM","9:55:00AM","","","true","","",""
"30751","Anthropology","ANTHRO  103","","","","","","false","","",""
"30752","Anthropology","ANTHRO  103","","5:35:00PM","6:25:00PM","","","false","","",""
"30753","Anthropology","ANTHRO  103","","","","","","false","","",""
"30754","Anthropology","ANTHRO  103","","","","","","false","","",""
"30755","Anthropology","ANTHRO  103","","2:30:00PM","3:20:00PM","","","false","","",""
"30756","Anthropology","ANTHRO  103","","1:25:00PM","2:15:00PM","","","false","","",""
"30781","Anthropology","ANTHRO  103","","8:00:00AM","8:50:00AM","","","false","","",""
"30782","Anthropology","ANTHRO  103","","9:05:00AM","9:55:00AM","","","false","","",""
"30822","Anthropology","ANTHRO  103","","","","","","false","","",""
"30723","Anthropology","ANTHRO  103","","","","","","false","","",""
"30724","Anthropology","ANTHRO  103","","","","","","false","","",""
"30725","Anthropology","ANTHRO  103","","1:25:00PM","2:15:00PM","","","false","","",""
"39769","Anthropology","ANTHRO  104","","8:00:00AM","9:15:00AM","","","true","","",""
"30775","Anthropology","ANTHRO  104","","","","","","true","","",""
"30799","Anthropology","ANTHRO  104","","","","","","false","","",""
"30800","Anthropology","ANTHRO  104","","","","","","false","","",""
"30801","Anthropology","ANTHRO  104","","2:30:00PM","3:20:00PM","","","false","","",""
"30802","Anthropology","ANTHRO  104","","2:30:00PM","3:20:00PM","","","false","","",""
"30803","Anthropology","ANTHRO  104","","2:30:00PM","3:20:00PM","","","false","","",""
"30805","Anthropology","ANTHRO  104","","4:00:00PM","4:50:00PM","","","false","","",""
"30806","Anthropology","ANTHRO  104","","8:00:00AM","8:50:00AM","","","false","","",""
"30807","Anthropology","ANTHRO  104","","9:05:00AM","9:55:00AM","","","false","","",""
"30808","Anthropology","ANTHRO  104","","","","","","false","","",""
"39674","Anthropology","ANTHRO  104H","","2:30:00PM","3:45:00PM","","","true","","",""
"39755","Anthropology","ANTHRO  105","","1:00:00PM","2:15:00PM","","","true","","",""
"30804","Anthropology","ANTHRO  105","","9:05:00AM","9:55:00AM","","","true","","",""
"30809","Anthropology","ANTHRO  105","","8:00:00AM","8:50:00AM","","","false","","",""
"30810","Anthropology","ANTHRO  105","","9:30:00AM","0:20:00AM","","","false","","",""
"30811","Anthropology","ANTHRO  105","","","","","","false","","",""
"30812","Anthropology","ANTHRO  105","","","","","","false","","",""
"30813","Anthropology","ANTHRO  105","","","","","","false","","",""
"30814","Anthropology","ANTHRO  150","","2:30:00PM","3:20:00PM","","","false","","",""
"30825","Anthropology","ANTHRO  150","","","","","","true","","",""
"30826","Anthropology","ANTHRO  150","","","","","","false","","",""
"30827","Anthropology","ANTHRO  150","","9:30:00AM","0:20:00AM","","","false","","",""
"30828","Anthropology","ANTHRO  150","","","","","","false","","",""
"30829","Anthropology","ANTHRO  150","","","","","","false","","",""
"30830","Anthropology","ANTHRO  150","","1:00:00PM","1:50:00PM","","","false","","",""
"30831","Anthropology","ANTHRO  150","","2:30:00PM","3:20:00PM","","","false","","",""
"30832","Anthropology","ANTHRO  150","","8:00:00AM","8:50:00AM","","","false","","",""
"30833","Anthropology","ANTHRO  150","","9:05:00AM","9:55:00AM","","","false","","",""
"30834","Anthropology","ANTHRO  150","","","","","","false","","",""
"30839","Anthropology","ANTHRO  150","","2:30:00PM","3:20:00PM","","","false","","",""
"30840","Anthropology","ANTHRO  150","","4:00:00PM","4:50:00PM","","","false","","",""
"30841","Anthropology","ANTHRO  196H","","8:00:00AM","8:50:00AM","","","false","","",""
"30776","Anthropology","ANTHRO  197D","","1:00:00AM","1:00:00AM","","","true","","",""
"30837","Anthropology","ANTHRO  208","","1:25:00PM","2:15:00PM","","","true","","",""
"38110","Anthropology","ANTHRO  220","","","","","","true","","",""
"30757","Anthropology","ANTHRO  270","","","","","","true","","",""
"30758","Anthropology","ANTHRO  271","","2:30:00PM","3:45:00PM","","","true","","",""
"39756","Anthropology","ANTHRO  281","","1:25:00PM","2:15:00PM","","","true","","",""
"39768","Anthropology","ANTHRO  290BH","","","","","","true","","",""
"30737","Anthropology","ANTHRO  296","","9:30:00AM","0:45:00AM","","","true","","",""
"30815","Anthropology","ANTHRO  296H","","1:00:00AM","1:00:00AM","","","true","","",""
"30777","Anthropology","ANTHRO  297H","","1:00:00AM","1:00:00AM","","","true","","",""
"38347","Anthropology","ANTHRO  306","","1:00:00PM","2:15:00PM","","","true","","",""
"38137","Anthropology","ANTHRO  306","","","","","","true","","",""
"38138","Anthropology","ANTHRO  317","","4:00:00PM","6:00:00PM","","","false","","",""
"30852","Anthropology","ANTHRO  320","","2:30:00PM","3:45:00PM","","","true","","",""
"30797","Anthropology","ANTHRO  325","","2:30:00PM","6:15:00PM","","","true","","",""
"39784","Anthropology","ANTHRO  360","","1:00:00AM","1:00:00AM","","","true","","",""
"38139","Anthropology","ANTHRO  364","","","","","","true","","",""
"30760","Anthropology","ANTHRO  364","","1:00:00PM","2:15:00PM","","","true","","",""
"30761","Anthropology","ANTHRO  364","","","","","","false","","",""
"30762","Anthropology","ANTHRO  364","","","","","","false","","",""
"30763","Anthropology","ANTHRO  372","","1:25:00PM","2:15:00PM","","","false","","",""
"39836","Anthropology","ANTHRO  388","","","","","","true","","",""
"30764","Anthropology","ANTHRO  394EI","","1:00:00AM","1:00:00AM","","","true","","",""
"30798","Anthropology","ANTHRO  396","","1:25:00PM","2:15:00PM","","","true","","",""
"30816","Anthropology","ANTHRO  396","","1:00:00AM","1:00:00AM","","","true","","",""
"30867","Anthropology","ANTHRO  396","","1:00:00AM","1:00:00AM","","","true","","",""
"30722","Anthropology","ANTHRO  396","","1:00:00AM","1:00:00AM","","","true","","",""
"30728","Anthropology","ANTHRO  396","","1:00:00AM","1:00:00AM","","","true","","",""
"30730","Anthropology","ANTHRO  396","","1:00:00AM","1:00:00AM","","","true","","",""
"30743","Anthropology","ANTHRO  396","","1:00:00AM","1:00:00AM","","","true","","",""
"30744","Anthropology","ANTHRO  396C","","1:00:00AM","1:00:00AM","","","true","","",""
"30823","Anthropology","ANTHRO  396H","","1:00:00AM","1:00:00AM","","","true","","",""
"30778","Anthropology","ANTHRO  397AF","","1:00:00AM","1:00:00AM","","","true","","",""
"38316","Anthropology","ANTHRO  397CP","","","","","","true","","",""
"30710","Anthropology","ANTHRO  397CR","","9:00:00AM","2:00:00PM","","","true","","",""
"30717","Anthropology","ANTHRO  397EJ","","1:00:00PM","4:00:00PM","","","true","","",""
"30733","Anthropology","ANTHRO  397MG","","9:05:00AM","2:05:00PM","","","true","","",""
"38141","Anthropology","ANTHRO  398","","4:00:00PM","5:15:00PM","","","true","","",""
"30765","Anthropology","ANTHRO  398","","1:00:00AM","1:00:00AM","","","true","","",""
"30745","Anthropology","ANTHRO  496","","1:00:00AM","1:00:00AM","","","true","","",""
"30817","Anthropology","ANTHRO  496","","1:00:00AM","1:00:00AM","","","true","","",""
"30868","Anthropology","ANTHRO  496","","1:00:00AM","1:00:00AM","","","true","","",""
"30747","Anthropology","ANTHRO  496","","1:00:00AM","1:00:00AM","","","true","","",""
"30748","Anthropology","ANTHRO  496","","1:00:00AM","1:00:00AM","","","true","","",""
"30749","Anthropology","ANTHRO  496H","","1:00:00AM","1:00:00AM","","","true","","",""
"30779","Anthropology","ANTHRO  497AD","","1:00:00AM","1:00:00AM","","","true","","",""
"38280","Anthropology","ANTHRO  497R","","9:05:00AM","2:05:00PM","","","true","","",""
"38145","Anthropology","ANTHRO  498Y","","","","","","true","","",""
"30780","Anthropology","ANTHRO  499C","","1:00:00AM","1:00:00AM","","","true","","",""
"39779","Anthropology","ANTHRO  499P","","9:30:00AM","0:45:00AM","","","true","","",""
"30783","Anthropology","ANTHRO  499T","","1:00:00AM","1:00:00AM","","","true","","",""
"30766","Anthropology","ANTHRO  499Y","","1:00:00AM","1:00:00AM","","","true","","",""
"30767","Anthropology","ANTHRO  596","","1:00:00AM","1:00:00AM","","","true","","",""
"30818","Anthropology","ANTHRO  596","","1:00:00AM","1:00:00AM","","","true","","",""
"30726","Anthropology","ANTHRO  596","","1:00:00AM","1:00:00AM","","","true","","",""
"30742","Anthropology","ANTHRO  597CP","","1:00:00AM","1:00:00AM","","","true","","",""
"39788","Anthropology","ANTHRO  597EJ","","","","","","true","","",""
"30732","Anthropology","ANTHRO  641","","9:05:00AM","2:05:00PM","","","true","","",""
"30853","Anthropology","ANTHRO  660","","9:30:00AM","2:30:00PM","","","true","","",""
"30836","Anthropology","ANTHRO  685","","1:00:00PM","3:45:00PM","","","true","","",""
"30854","Anthropology","ANTHRO  696","","1:00:00PM","3:45:00PM","","","true","","",""
"30819","Anthropology","ANTHRO  696","","1:00:00AM","1:00:00AM","","","true","","",""
"30738","Anthropology","ANTHRO  696","","1:00:00AM","1:00:00AM","","","true","","",""
"30740","Anthropology","ANTHRO  696","","1:00:00AM","1:00:00AM","","","true","","",""
"30746","Anthropology","ANTHRO  697LL","","1:00:00AM","1:00:00AM","","","true","","",""
"30821","Anthropology","ANTHRO  697PS","","","","","","true","","",""
"39638","Anthropology","ANTHRO  698","","1:00:00PM","4:00:00PM","","","true","","",""
"30768","Anthropology","ANTHRO  699","","","","","","true","","",""
"30769","Anthropology","ANTHRO  796","","1:00:00AM","1:00:00AM","","","true","","",""
"30820","Anthropology","ANTHRO  796","","1:00:00AM","1:00:00AM","","","true","","",""
"30739","Anthropology","ANTHRO  796","","1:00:00AM","1:00:00AM","","","true","","",""
"30741","Anthropology","ANTHRO  797P","","1:00:00AM","1:00:00AM","","","true","","",""
"38281","Anthropology","ANTHRO  802","","","","","","true","","",""
"30770","Anthropology","ANTHRO  803","","1:00:00AM","1:00:00AM","","","true","","",""
"30771","Anthropology","ANTHRO  804","","1:00:00AM","1:00:00AM","","","true","","",""
"30772","Anthropology","ANTHRO  805","","1:00:00AM","1:00:00AM","","","true","","",""
"30773","Anthropology","ANTHRO  899","","1:00:00AM","1:00:00AM","","","true","","",""
"30774","Anthropology","ANTHRO  899","","1:00:00AM","1:00:00AM","","","true","","",""
"30869","Arabic","ARABIC  126","","","","","","true","","",""
"30873","Arabic","ARABIC  196","","","","","","true","","",""
"30884","Arabic","ARABIC  196H","","1:00:00AM","1:00:00AM","","","true","","",""
"30877","Arabic","ARABIC  201","","1:00:00AM","1:00:00AM","","","true","","",""
"30871","Arabic","ARABIC  226","","1:00:00PM","2:15:00PM","","","true","","",""
"30874","Arabic","ARABIC  296","","1:25:00PM","2:15:00PM","","","true","","",""
"30885","Arabic","ARABIC  296H","","1:00:00AM","1:00:00AM","","","true","","",""
